,precision,recall,f1-score,support
N,0.9973988115259558,0.9988771362482877,0.9981374265068893,44529.0
L,0.9985717200571312,0.9977573904179409,0.9981643891495003,4905.0
R,0.9959530554431404,0.9975678962302391,0.9967598217901985,4934.0
V,0.9811946902654868,0.9844617092119867,0.9828254847645429,2703.0
A,0.9824723247232472,0.9157351676698194,0.9479305740987984,1163.0
accuracy,0.9963423429611568,0.9963423429611568,0.9963423429611568,0.9963423429611568
macro avg,0.9911181204029923,0.9788798599556546,0.9847635392619859,58234.0
weighted avg,0.9963248772592767,0.9963423429611568,0.9963095665317835,58234.0
