model,data_version,val_acc,test_acc,val_macro_f1,test_macro_f1,macro_auc,micro_auc,model_size_MB,n_params,latency_cpu_b32,latency_cpu_b128,latency_gpu_b32,latency_gpu_b128,notes
gru,unfiltered,0.7496,0.7496072693670106,0.2408790916300282,0.2408790916300282,,,1.54,402967,651.5705347061157,1529.8033714294434,3.3342599868774414,15.660476684570312,"Min F1=0.00 (class: "",+,],~)"
gru,6class,0.9856,0.9860773140304944,0.9718385733927768,0.9718385733927768,,,1.52,398598,654.1475772857666,1545.426106452942,18.66929531097412,23.56553077697754,Min F1=0.94 (class: A)
gru,5class,0.9962,0.9963423429611568,0.984763539261986,0.984763539261986,,,1.52,398341,650.0862121582031,1499.8948812484741,9.612321853637695,23.856282234191895,Min F1=0.95 (class: A)
lstm,unfiltered,0.6847,0.6858000924072077,0.035374770064789,0.035374770064789,,,2.05,535319,242.69988536834717,678.3425807952881,17.664718627929688,47.14388847351074,"Min F1=0.00 (class: !,"",+,/,A,E,F,J,L,Q,R,S,V,[,],a,e,f,j,x,|,~)"
lstm,6class,0.9776,0.9773756352995534,0.9472422055552426,0.9472422055552426,,,2.03,530950,243.34113597869873,675.6354331970215,16.991686820983887,48.702049255371094,Min F1=0.86 (class: A)
lstm,5class,0.9918,0.9906927224645397,0.9624074599647244,0.9624074599647244,,,2.03,530693,245.277738571167,692.804479598999,17.21808910369873,45.37830352783203,Min F1=0.88 (class: A)
convgru,unfiltered,0.6785,0.6793931926690282,0.0354770589344227,0.0354770589344227,,,0.03,5815,85.91837882995605,145.9150791168213,7.277727127075195,11.846280097961426,"Min F1=0.00 (class: !,"",+,A,E,F,J,L,Q,R,S,V,[,],a,e,f,j,x,|,~)"
convgru,6class,0.9716,0.9708763283536116,0.9310524705936304,0.9310524705936304,,,0.02,5254,86.14881038665771,155.06701469421387,3.863978385925293,4.74400520324707,Min F1=0.83 (class: A)
convgru,5class,0.9867,0.9863996977710616,0.9420413790637946,0.9420413790637946,,,0.02,5221,82.24868774414062,165.46640396118164,5.296206474304199,6.743788719177246,Min F1=0.81 (class: A)
