,precision,recall,f1-score,support
N,0.9937993866541311,0.9970131824204451,0.995403690500213,44529.0
L,0.9906674781903023,0.9955147808358817,0.9930852145617246,4905.0
R,0.9867363344051447,0.9951357924604783,0.9909182643794148,4934.0
V,0.9715603382013835,0.9352571217166111,0.9530631479736098,2703.0
A,0.9250474383301708,0.8383490971625107,0.8795669824086604,1163.0
accuracy,0.9906927224645397,0.9906927224645397,0.9906927224645397,0.9906927224645397
macro avg,0.9735621951562266,0.9522539949191854,0.9624074599647245,58234.0
weighted avg,0.9905318492244487,0.9906927224645397,0.9905496912056739,58234.0
