,precision,recall,f1-score,support
N,0.9816139822342335,0.9951492285926026,0.9883352663038629,44529.0
L,0.9922575387123065,0.9928644240570846,0.9925608886171405,4905.0
R,0.9788254095085897,0.993109039319011,0.9859154929577465,4934.0
V,0.9010380622837371,0.9633740288568258,0.9311639549436797,2703.0
A,0.935871743486974,0.8030954428202923,0.8644146228597871,1163.0
other,0.9757727652464494,0.8721624850657109,0.921063007649239,6696.0
accuracy,0.9773756352995534,0.9773756352995534,0.9773756352995534,0.9773756352995534
macro avg,0.9608965835787151,0.9366257747852544,0.9472422055552426,64930.0
weighted avg,0.97743009346875,0.9773756352995534,0.976933429077211,64930.0
