,precision,recall,f1-score,support
N,0.9904942541559746,0.9968559814952054,0.993664935530086,44529.0
L,0.9905949703537109,0.9877675840978594,0.9891792568395263,4905.0
R,0.9843464118723317,0.9813538710985003,0.9828478635948442,4934.0
V,0.9510064565134827,0.926378098409175,0.9385307346326837,2703.0
A,0.8831967213114754,0.7411865864144453,0.8059841047218327,1163.0
accuracy,0.9863996977710616,0.9863996977710616,0.9863996977710616,0.9863996977710616
macro avg,0.9599277628413951,0.9267084243030371,0.9420413790637946,58234.0
weighted avg,0.9860061202719309,0.9863996977710616,0.9860632897877128,58234.0
