,precision,recall,f1-score,support
N,0.9751110329361066,0.9959801477688697,0.9854351134861294,44529.0
L,0.9840080971659919,0.9910295616717635,0.9875063484002031,4905.0
R,0.9803165584415584,0.9791244426428861,0.9797201379030622,4934.0
V,0.9292343387470998,0.8890122086570478,0.9086783891094725,2703.0
A,0.894,0.7687016337059329,0.826629680998613,1163.0
other,0.950950950950951,0.8512544802867383,0.8983451536643026,6696.0
accuracy,0.9708763283536116,0.9708763283536116,0.9708763283536116,0.9708763283536116
macro avg,0.9522701630402844,0.9125170791222064,0.9310524705936305,64930.0
weighted avg,0.9703245154283492,0.9708763283536116,0.9701362254957803,64930.0
