epoch,train_loss,train_acc,val_loss,val_acc
0,0.0034,0.6515,0.0029,0.0528
1,0.0026,0.5939,0.0015,0.6295
2,0.0018,0.5375,0.0014,0.6001
3,0.0013,0.5943,0.0009,0.6527
4,0.0010,0.6362,0.0006,0.7496
5,0.0010,0.6743,0.0006,0.7272
6,0.0007,0.7440,0.0012,0.6069
7,0.0007,0.7640,0.0011,0.7323
8,0.0009,0.6945,0.0008,0.6517
9,0.0023,0.5801,0.0026,0.3832
10,0.0035,0.4530,0.0021,0.4412
11,0.0027,0.4729,0.0019,0.3957
