epoch,train_loss,train_acc,val_loss,val_acc
0,0.0034,0.6653,0.0027,0.6847
1,0.0032,0.6813,0.0026,0.6847
2,0.0031,0.6780,0.0026,0.6795
3,0.0031,0.6578,0.0024,0.6834
4,0.0028,0.6595,0.0022,0.6272
5,0.0024,0.6240,0.0025,0.5128
6,0.0021,0.5923,0.0014,0.5772
7,0.0027,0.5317,0.0026,0.6845
