epoch,train_loss,train_acc,val_loss,val_acc
0,0.0034,0.6668,0.0026,0.6785
1,0.0032,0.6644,0.0026,0.6706
2,0.0031,0.6473,0.0026,0.6626
3,0.0029,0.6566,0.0024,0.6491
4,0.0028,0.6311,0.0023,0.6517
5,0.0026,0.6093,0.0022,0.6435
6,0.0024,0.5402,0.0020,0.5868
7,0.0022,0.5133,0.0019,0.3509
